Time,0x180601fd_0_1
11-29-2022_14.59.41,19424
11-29-2022_14.59.41,18304
11-29-2022_14.59.41,18802
11-29-2022_14.59.41,19549
11-29-2022_14.59.41,18802
11-29-2022_14.59.41,18304
11-29-2022_14.59.42,18926
11-29-2022_14.59.42,18677
11-29-2022_14.59.42,18428
11-29-2022_14.59.42,19051
11-29-2022_14.59.42,19300
11-29-2022_14.59.42,18428
11-29-2022_14.59.42,18428
11-29-2022_14.59.42,19300
11-29-2022_14.59.42,18802
11-29-2022_14.59.42,18677
11-29-2022_14.59.43,19300
11-29-2022_14.59.43,19424
11-29-2022_14.59.43,18553
11-29-2022_14.59.43,18553
11-29-2022_14.59.43,19175
11-29-2022_14.59.43,18677
11-29-2022_14.59.43,18553
11-29-2022_14.59.43,19300
11-29-2022_14.59.43,19549
11-29-2022_14.59.43,18304
11-29-2022_14.59.44,18677
11-29-2022_14.59.44,19175
11-29-2022_14.59.44,18304
11-29-2022_14.59.44,18553
11-29-2022_14.59.44,19300
11-29-2022_14.59.44,18677
11-29-2022_14.59.44,18304
11-29-2022_14.59.44,18553
11-29-2022_14.59.44,19051
11-29-2022_14.59.44,18179
11-29-2022_14.59.45,18428
11-29-2022_14.59.45,19424
11-29-2022_14.59.45,19051
11-29-2022_14.59.45,18802
11-29-2022_14.59.45,18926
11-29-2022_14.59.45,19300
11-29-2022_14.59.45,18304
11-29-2022_14.59.45,18553
11-29-2022_14.59.45,19549
11-29-2022_14.59.45,18802
11-29-2022_14.59.46,18802
11-29-2022_14.59.46,19051
11-29-2022_14.59.46,19549
11-29-2022_14.59.46,18677
11-29-2022_14.59.46,18802
11-29-2022_14.59.46,19673
11-29-2022_14.59.46,18553
11-29-2022_14.59.46,18802
11-29-2022_14.59.46,19051
11-29-2022_14.59.46,18926
11-29-2022_14.59.47,18553
11-29-2022_14.59.47,19051
11-29-2022_14.59.47,19673
11-29-2022_14.59.47,18802
11-29-2022_14.59.47,19051
11-29-2022_14.59.47,19424
11-29-2022_14.59.47,19051
11-29-2022_14.59.47,18553
11-29-2022_14.59.47,19175
11-29-2022_14.59.47,19424
11-29-2022_14.59.48,18677
11-29-2022_14.59.48,18926
11-29-2022_14.59.48,19300
11-29-2022_14.59.48,18677
11-29-2022_14.59.48,18677
11-29-2022_14.59.48,19175
11-29-2022_14.59.48,19300
11-29-2022_14.59.48,18553
11-29-2022_14.59.48,19175
