Time,sous_cycle_1
11-29-2022_14.59.27,8057.641832951442
11-29-2022_14.59.27,8317.958417596656
11-29-2022_14.59.27,8406.076545111026
11-29-2022_14.59.27,8101.930084247862
11-29-2022_14.59.27,7904.5225342542
11-29-2022_14.59.28,8101.930084247862
11-29-2022_14.59.28,8254.411242891732
11-29-2022_14.59.28,7949.500140696557
11-29-2022_14.59.28,8352.413371120409
11-29-2022_14.59.28,7904.5225342542
11-29-2022_14.59.28,8003.3538348315205
11-29-2022_14.59.28,8352.413371120409
11-29-2022_14.59.28,8101.930084247862
11-29-2022_14.59.28,8101.930084247862
11-29-2022_14.59.29,8352.413371120409
11-29-2022_14.59.29,8352.413371120409
11-29-2022_14.59.29,7850.6053334044545
11-29-2022_14.59.29,8057.641832951442
11-29-2022_14.59.29,8352.413371120409
11-29-2022_14.59.29,7904.5225342542
11-29-2022_14.59.29,8003.3538348315205
11-29-2022_14.59.29,8308.137923597133
11-29-2022_14.59.29,8156.154063502077
11-29-2022_14.59.29,8057.641832951442
11-29-2022_14.59.30,8057.641832951442
11-29-2022_14.59.30,8298.317429597608
11-29-2022_14.59.30,7850.6053334044545
11-29-2022_14.59.30,7949.500140696557
11-29-2022_14.59.30,8352.413371120409
11-29-2022_14.59.30,8146.524601797824
11-29-2022_14.59.30,8003.3538348315205
11-29-2022_14.59.30,8156.154063502077
11-29-2022_14.59.30,8352.413371120409
11-29-2022_14.59.30,7751.455474951375
11-29-2022_14.59.31,8156.154063502077
11-29-2022_14.59.31,8352.413371120409
11-29-2022_14.59.31,8101.930084247862
11-29-2022_14.59.31,7958.874551239831
11-29-2022_14.59.31,8254.411242891732
11-29-2022_14.59.31,8244.65425560699
11-29-2022_14.59.31,7850.6053334044545
11-29-2022_14.59.31,8308.137923597133
11-29-2022_14.59.31,8254.411242891732
11-29-2022_14.59.31,7949.500140696557
11-29-2022_14.59.32,8308.137923597133
11-29-2022_14.59.32,8200.251282503223
11-29-2022_14.59.32,8200.251282503223
11-29-2022_14.59.32,8003.3538348315205
11-29-2022_14.59.32,8156.154063502077
11-29-2022_14.59.32,8352.413371120409
11-29-2022_14.59.32,8057.641832951442
11-29-2022_14.59.32,8156.154063502077
11-29-2022_14.59.32,8352.413371120409
11-29-2022_14.59.32,8057.641832951442
11-29-2022_14.59.33,7904.5225342542
11-29-2022_14.59.33,8254.411242891732
11-29-2022_14.59.33,8396.128525531014
11-29-2022_14.59.33,7904.5225342542
11-29-2022_14.59.33,8101.930084247862
11-29-2022_14.59.33,8352.413371120409
11-29-2022_14.59.33,8101.930084247862
11-29-2022_14.59.33,8057.641832951442
11-29-2022_14.59.33,8352.413371120409
11-29-2022_14.59.33,8352.413371120409
11-29-2022_14.59.34,8003.3538348315205
11-29-2022_14.59.34,8254.411242891732
11-29-2022_14.59.34,8308.137923597133
11-29-2022_14.59.34,7958.874551239831
11-29-2022_14.59.34,8003.3538348315205
