Time,sous_cycle_1
11-29-2022_14.59.14,7994.8144559885795
11-29-2022_14.59.14,7994.8144559885795
11-29-2022_14.59.14,8190.049607376631
11-29-2022_14.59.14,8038.75738110683
11-29-2022_14.59.14,7994.8144559885795
11-29-2022_14.59.15,8190.049607376631
11-29-2022_14.59.15,8136.311945263246
11-29-2022_14.59.15,8038.75738110683
11-29-2022_14.59.15,8038.75738110683
11-29-2022_14.59.15,8287.287589372323
11-29-2022_14.59.15,7994.8144559885795
11-29-2022_14.59.15,8199.730517078022
11-29-2022_14.59.15,8340.532338651192
11-29-2022_14.59.15,8190.049607376631
11-29-2022_14.59.15,8048.248239880273
11-29-2022_14.59.16,8092.558562915383
11-29-2022_14.59.16,8287.287589372323
11-29-2022_14.59.16,7994.8144559885795
11-29-2022_14.59.16,8394.206481069406
11-29-2022_14.59.16,8190.049607376631
11-29-2022_14.59.16,7994.8144559885795
11-29-2022_14.59.16,8145.929335269468
11-29-2022_14.59.16,8287.287589372323
11-29-2022_14.59.16,7950.314082025523
11-29-2022_14.59.17,8092.558562915383
11-29-2022_14.59.17,8287.287589372323
11-29-2022_14.59.17,7940.949754484856
11-29-2022_14.59.17,8243.357368193107
11-29-2022_14.59.17,8190.049607376631
11-29-2022_14.59.17,7994.8144559885795
11-29-2022_14.59.17,8243.357368193107
11-29-2022_14.59.17,8394.206481069406
11-29-2022_14.59.17,8048.248239880273
11-29-2022_14.59.18,7994.8144559885795
11-29-2022_14.59.18,8340.532338651192
11-29-2022_14.59.18,8145.929335269468
11-29-2022_14.59.18,8243.357368193107
11-29-2022_14.59.18,8340.532338651192
11-29-2022_14.59.18,7896.8172865962215
11-29-2022_14.59.18,7994.8144559885795
11-29-2022_14.59.18,8287.287589372323
11-29-2022_14.59.18,8136.311945263246
11-29-2022_14.59.19,7940.949754484856
11-29-2022_14.59.19,8145.929335269468
11-29-2022_14.59.19,8384.27250890246
11-29-2022_14.59.19,7940.949754484856
11-29-2022_14.59.19,7994.8144559885795
11-29-2022_14.59.19,8384.27250890246
11-29-2022_14.59.19,7940.949754484856
11-29-2022_14.59.19,8092.558562915383
11-29-2022_14.59.19,8243.357368193107
11-29-2022_14.59.19,8243.357368193107
11-29-2022_14.59.20,8048.248239880273
11-29-2022_14.59.20,8102.112941383996
11-29-2022_14.59.20,8340.532338651192
11-29-2022_14.59.20,7842.889065397329
11-29-2022_14.59.20,8048.248239880273
11-29-2022_14.59.20,8384.27250890246
11-29-2022_14.59.20,8190.049607376631
11-29-2022_14.59.20,8092.558562915383
11-29-2022_14.59.20,8199.730517078022
11-29-2022_14.59.20,8340.532338651192
11-29-2022_14.59.21,7994.8144559885795
11-29-2022_14.59.21,8092.558562915383
11-29-2022_14.59.21,8340.532338651192
11-29-2022_14.59.21,8190.049607376631
